EVM Blockchain Networks - Field Definitions,,,
,,,
Network: 0g Testnet (ID: 0g-testnet),,,
Entity Type,Field Name,Data Type,Description
blocks,number,integer,Block number
,height,integer,Block height (same as number for EVM)
,hash,string,Block hash
,parent_hash,string,Parent block hash
,timestamp,integer,Block timestamp
,nonce,string,Block nonce
,sha3_uncles,string,Hash of uncle block headers
,logs_bloom,string,Bloom filter for log entries in the block
,transactions_root,string,Merkle root of all transactions in the block
,state_root,string,Merkle root of the state trie after block execution
,receipts_root,string,Merkle root of all transaction receipts
,mix_hash,string,Hash used for proof-of-work verification
,miner,string,Address of the block producer/miner
,difficulty,integer,Mining difficulty for this block
,total_difficulty,integer,Cumulative difficulty from genesis to this block
,extra_data,string,Arbitrary data included by the miner
,size,integer,Block size in bytes
,gas_limit,integer,Maximum gas allowed for all transactions in this block
,gas_used,integer,Total gas consumed by all transactions in this block
,base_fee_per_gas,integer,Base fee per gas unit (EIP-1559)
,l1_block_number,integer,L1 block number for L2 networks
tx,transaction_index,integer,Index of the transaction in the block
,from_,string,Sender address (lowercase)
,to,string,Recipient address (lowercase)
,hash,string,Transaction hash
,gas,integer,Gas limit provided for transaction execution
,gas_price,integer,Price per gas unit in wei (legacy transactions)
,max_fee_per_gas,integer,Maximum fee per gas willing to pay (EIP-1559)
,max_priority_fee_per_gas,integer,Maximum priority fee per gas (tip to miner)
,input,string,Transaction input data (contract call or deployment code)
,nonce,integer,Sender's transaction count before this transaction
,value,integer,Amount of ether transferred in wei
,v,integer,ECDSA recovery parameter
,r,string,ECDSA signature r component
,s,string,ECDSA signature s component
,y_parity,integer,EIP-2930/1559 signature parity bit
,chain_id,integer,Chain ID for replay protection (EIP-155)
,gas_used,integer,Actual gas consumed by transaction execution
,cumulative_gas_used,integer,Total gas used in block up to and including this transaction
,effective_gas_price,integer,Actual gas price paid per unit
,contract_address,string,Address of created contract (for contract deployment transactions)
,type,integer,"Transaction type (e.g., 0 for legacy, 2 for EIP-1559)"
,status,integer,"Transaction status (1 for success, 0 for failure)"
,sighash,string,First 4 bytes of function signature hash
logs,log_index,integer,Index of the log in the block
,transaction_index,integer,Index of the parent transaction
,address,string,Contract address emitting the log (lowercase)
,data,string,Log data
,topics,array,Log topics
,transaction_hash,string,Hash of the parent transaction
,,,
,,,
Network: Abstract Mainnet (ID: abstract-mainnet),,,
Entity Type,Field Name,Data Type,Description
blocks,number,integer,Block number
,height,integer,Block height (same as number for EVM)
,hash,string,Block hash
,parent_hash,string,Parent block hash
,timestamp,integer,Block timestamp
,nonce,string,Block nonce
,sha3_uncles,string,Hash of uncle block headers
,logs_bloom,string,Bloom filter for log entries in the block
,transactions_root,string,Merkle root of all transactions in the block
,state_root,string,Merkle root of the state trie after block execution
,receipts_root,string,Merkle root of all transaction receipts
,mix_hash,string,Hash used for proof-of-work verification
,miner,string,Address of the block producer/miner
,difficulty,integer,Mining difficulty for this block
,total_difficulty,integer,Cumulative difficulty from genesis to this block
,extra_data,string,Arbitrary data included by the miner
,size,integer,Block size in bytes
,gas_limit,integer,Maximum gas allowed for all transactions in this block
,gas_used,integer,Total gas consumed by all transactions in this block
,base_fee_per_gas,integer,Base fee per gas unit (EIP-1559)
,l1_block_number,integer,L1 block number for L2 networks
tx,transaction_index,integer,Index of the transaction in the block
,from_,string,Sender address (lowercase)
,to,string,Recipient address (lowercase)
,hash,string,Transaction hash
,gas,integer,Gas limit provided for transaction execution
,gas_price,integer,Price per gas unit in wei (legacy transactions)
,max_fee_per_gas,integer,Maximum fee per gas willing to pay (EIP-1559)
,max_priority_fee_per_gas,integer,Maximum priority fee per gas (tip to miner)
,input,string,Transaction input data (contract call or deployment code)
,nonce,integer,Sender's transaction count before this transaction
,value,integer,Amount of ether transferred in wei
,v,integer,ECDSA recovery parameter
,r,string,ECDSA signature r component
,s,string,ECDSA signature s component
,y_parity,integer,EIP-2930/1559 signature parity bit
,chain_id,integer,Chain ID for replay protection (EIP-155)
,gas_used,integer,Actual gas consumed by transaction execution
,cumulative_gas_used,integer,Total gas used in block up to and including this transaction
,effective_gas_price,integer,Actual gas price paid per unit
,contract_address,string,Address of created contract (for contract deployment transactions)
,type,integer,"Transaction type (e.g., 0 for legacy, 2 for EIP-1559)"
,status,integer,"Transaction status (1 for success, 0 for failure)"
,sighash,string,First 4 bytes of function signature hash
logs,log_index,integer,Index of the log in the block
,transaction_index,integer,Index of the parent transaction
,address,string,Contract address emitting the log (lowercase)
,data,string,Log data
,topics,array,Log topics
,transaction_hash,string,Hash of the parent transaction
,,,
,,,
Network: Abstract Testnet (ID: abstract-testnet),,,
Entity Type,Field Name,Data Type,Description
blocks,number,integer,Block number
,height,integer,Block height (same as number for EVM)
,hash,string,Block hash
,parent_hash,string,Parent block hash
,timestamp,integer,Block timestamp
,nonce,string,Block nonce
,sha3_uncles,string,Hash of uncle block headers
,logs_bloom,string,Bloom filter for log entries in the block
,transactions_root,string,Merkle root of all transactions in the block
,state_root,string,Merkle root of the state trie after block execution
,receipts_root,string,Merkle root of all transaction receipts
,mix_hash,string,Hash used for proof-of-work verification
,miner,string,Address of the block producer/miner
,difficulty,integer,Mining difficulty for this block
,total_difficulty,integer,Cumulative difficulty from genesis to this block
,extra_data,string,Arbitrary data included by the miner
,size,integer,Block size in bytes
,gas_limit,integer,Maximum gas allowed for all transactions in this block
,gas_used,integer,Total gas consumed by all transactions in this block
,base_fee_per_gas,integer,Base fee per gas unit (EIP-1559)
,l1_block_number,integer,L1 block number for L2 networks
tx,transaction_index,integer,Index of the transaction in the block
,from_,string,Sender address (lowercase)
,to,string,Recipient address (lowercase)
,hash,string,Transaction hash
,gas,integer,Gas limit provided for transaction execution
,gas_price,integer,Price per gas unit in wei (legacy transactions)
,max_fee_per_gas,integer,Maximum fee per gas willing to pay (EIP-1559)
,max_priority_fee_per_gas,integer,Maximum priority fee per gas (tip to miner)
,input,string,Transaction input data (contract call or deployment code)
,nonce,integer,Sender's transaction count before this transaction
,value,integer,Amount of ether transferred in wei
,v,integer,ECDSA recovery parameter
,r,string,ECDSA signature r component
,s,string,ECDSA signature s component
,y_parity,integer,EIP-2930/1559 signature parity bit
,chain_id,integer,Chain ID for replay protection (EIP-155)
,gas_used,integer,Actual gas consumed by transaction execution
,cumulative_gas_used,integer,Total gas used in block up to and including this transaction
,effective_gas_price,integer,Actual gas price paid per unit
,contract_address,string,Address of created contract (for contract deployment transactions)
,type,integer,"Transaction type (e.g., 0 for legacy, 2 for EIP-1559)"
,status,integer,"Transaction status (1 for success, 0 for failure)"
,sighash,string,First 4 bytes of function signature hash
logs,log_index,integer,Index of the log in the block
,transaction_index,integer,Index of the parent transaction
,address,string,Contract address emitting the log (lowercase)
,data,string,Log data
,topics,array,Log topics
,transaction_hash,string,Hash of the parent transaction
,,,
,,,
Network: Agung (ID: agung-evm),,,
Entity Type,Field Name,Data Type,Description
blocks,number,integer,Block number
,height,integer,Block height (same as number for EVM)
,hash,string,Block hash
,parent_hash,string,Parent block hash
